Power station,# units,Net capacity (MWe),Country,Location,Refs
Almaraz,2,"2,017",Spain,39°48′29″N 05°41′49″W﻿ / ﻿39.80806°N 5.69694°W,
Angra,2,"1,884[note 1]",Brazil,23°00′30″S 44°28′26″W﻿ / ﻿23.00833°S 44.47389°W,
ANO,2,"1,839",United States,35°18′37″N 93°13′53″W﻿ / ﻿35.31028°N 93.23139°W,
Ascó,2,"1,992",Spain,41°12′00″N 00°34′10″E﻿ / ﻿41.20000°N 0.56944°E,
Atucha,2,"1,027",Argentina,33°58′3″S 59°12′18″W﻿ / ﻿33.96750°S 59.20500°W,
Balakovo,4,"3,800",Russia,52°05′28″N 47°57′19″E﻿ / ﻿52.09111°N 47.95528°E,
Beaver Valley,2,"1,738",United States,40°37′24″N 80°25′50″W﻿ / ﻿40.62333°N 80.43056°W,
Belleville,2,"2,620",France,47°30′35″N 02°52′30″E﻿ / ﻿47.50972°N 2.87500°E,[1]
Beloyarsk,4,"1,597",Russia,56°50′30″N 61°19′21″E﻿ / ﻿56.84167°N 61.32250°E,
Blayais,4,"3,640",France,45°15′21″N 00°41′35″W﻿ / ﻿45.25583°N 0.69306°W,[1]
Braidwood,2,"2,330",United States,41°14′37″N 88°13′45″W﻿ / ﻿41.24361°N 88.22917°W,
Brokdorf,1,"1,410",Germany,53°51′03″N 09°20′41″E﻿ / ﻿53.85083°N 9.34472°E,
Browns Ferry,3,"3,300",United States,34°42′14″N 87°07′07″W﻿ / ﻿34.70389°N 87.11861°W,
Bruce,8,"6,384",Canada,44°19′31″N 81°35′58″W﻿ / ﻿44.32528°N 81.59944°W,[2]
Brunswick,2,"1,858",United States,33°57′30″N 78°0′37″W﻿ / ﻿33.95833°N 78.01028°W,
Bugey,4,"3,580[note 2]",France,45°48′00″N 05°16′15″E﻿ / ﻿45.80000°N 5.27083°E,[1]
Byron,2,"2,300",United States,42°4′27″N 89°16′55″W﻿ / ﻿42.07417°N 89.28194°W,
Callaway,1,"1,190",United States,38°45′42″N 91°46′48″W﻿ / ﻿38.76167°N 91.78000°W,
Calvert Cliffs,2,"1,735",United States,38°25′55″N 76°26′32″W﻿ / ﻿38.43194°N 76.44222°W,
Catawba,2,"2,258",United States,35°3′6″N 81°4′12″W﻿ / ﻿35.05167°N 81.07000°W,
Cattenom,4,"5,200",France,49°24′57″N 06°13′05″E﻿ / ﻿49.41583°N 6.21806°E,[1]
Cernavodă,2,"1,300",Romania,44°19′20″N 28°03′26″E﻿ / ﻿44.32222°N 28.05722°E,
Changjiang,2,"1,220",China,19°25′23″N 108°48′45″E﻿ / ﻿19.42306°N 108.81250°E,[3]
Chashma,4,"1,230",Pakistan,32°23′25″N 71°27′45″E﻿ / ﻿32.39028°N 71.46250°E,
Chinon,4,"3,620[note 3]",France,47°13′50″N 00°10′14″E﻿ / ﻿47.23056°N 0.17056°E,[1]
Chooz,2,"3,000[note 4]",France,50°05′24″N 04°47′22″E﻿ / ﻿50.09000°N 4.78944°E,[1]
Civaux,2,"2,990",France,46°27′24″N 00°39′10″E﻿ / ﻿46.45667°N 0.65278°E,[1]
Clinton,1,"1,043",United States,40°10′20″N 88°50′06″W﻿ / ﻿40.17222°N 88.83500°W,
Cofrentes,1,"1,064",Spain,39°13′00″N 01°03′00″W﻿ / ﻿39.21667°N 1.05000°W,
Columbia,1,"1,107",United States,46°28′16″N 119°20′02″W﻿ / ﻿46.47111°N 119.33389°W,
Comanche Peak,2,"2,367",United States,32°17′54″N 97°47′06″W﻿ / ﻿32.29833°N 97.78500°W,
Cruas,4,"3,660",France,44°37′59″N 04°45′24″E﻿ / ﻿44.63306°N 4.75667°E,[1]
Dampierre,4,"3,560",France,47°43′59″N 02°31′00″E﻿ / ﻿47.73306°N 2.51667°E,[1]
Darlington,4,"3,512",Canada,43°52′22″N 78°43′11″W﻿ / ﻿43.87278°N 78.71972°W,
Daya Bay,2,"1,888",China,22°35′52″N 114°32′37″E﻿ / ﻿22.59778°N 114.54361°E,[3][4]
Diablo Canyon,2,"2,240",United States,35°12′39″N 120°51′22″W﻿ / ﻿35.21083°N 120.85611°W,
Doel,4,"2,911",Belgium,51°19′29″N 04°15′31″E﻿ / ﻿51.32472°N 4.25861°E,
Donald C. Cook,2,"2,069",United States,41°58′31″N 86°33′57″W﻿ / ﻿41.97528°N 86.56583°W,
Dresden,2,"1,734[note 5]",United States,41°23′23″N 88°16′5″W﻿ / ﻿41.38972°N 88.26806°W,
Dukovany,4,"2,040",Czech Republic,49°05′06″N 16°08′56″E﻿ / ﻿49.08500°N 16.14889°E,
Dungeness,2,"1,040[note 6]",United Kingdom,50°54′50″N 00°57′50″E﻿ / ﻿50.91389°N 0.96389°E,
Edwin I. Hatch,2,"1,759",United States,31°56′03″N 82°20′38″W﻿ / ﻿31.93417°N 82.34389°W,
Fermi,1,"1,122[note 7]",United States,41°57′46″N 83°15′27″W﻿ / ﻿41.96278°N 83.25750°W,
Emsland,1,"1,329",Germany,52°28′27″N 07°19′04″E﻿ / ﻿52.47417°N 7.31778°E,
Fangchenggang,2,"2,000[note 8]",China,21°40′00″N 108°33′47″E﻿ / ﻿21.66667°N 108.56306°E,[3]
Fangjiashan,2,"2,000",China,30°26′29″N 120°56′30″E﻿ / ﻿30.44139°N 120.94167°E,[3]
Fessenheim,2,"1,760",France,47°54′11″N 07°33′47″E﻿ / ﻿47.90306°N 7.56306°E,[1]
Flamanville,2,"2,660[note 9]",France,49°32′11″N 01°52′54″W﻿ / ﻿49.53639°N 1.88167°W,[1]
Forsmark,3,"3,138",Sweden,60°24′12″N 18°10′00″E﻿ / ﻿60.40333°N 18.16667°E,
Fukushima Daini,4,"4,400",Japan,37°19′10″N 141°01′16″E﻿ / ﻿37.31944°N 141.02111°E,[5]
Fuqing,4,"4,000[note 10]",China,25°26′39″N 119°26′46″E﻿ / ﻿25.44417°N 119.44611°E,[3]
Genkai,3,"2,783[note 11]",Japan,33°30′56″N 129°50′14″E﻿ / ﻿33.51556°N 129.83722°E,[5][6]
Golfech,2,"2,620",France,44°06′24″N 00°50′43″E﻿ / ﻿44.10667°N 0.84528°E,[1]
Grand Gulf,1,"1,419",United States,32°0′24″N 91°2′54″W﻿ / ﻿32.00667°N 91.04833°W,
Gravelines,6,"5,460",France,51°00′55″N 02°08′10″E﻿ / ﻿51.01528°N 2.13611°E,[1]
Grohnde,1,"1,360",Germany,52°02′07″N 09°24′48″E﻿ / ﻿52.03528°N 9.41333°E,
Gundremmingen,1,"1,288[note 12]",Germany,48°30′53″N 10°24′08″E﻿ / ﻿48.51472°N 10.40222°E,
Haiyang,1,"1,000[note 13]",China,36°42′33″N 121°22′54″E﻿ / ﻿36.70917°N 121.38167°E,[3]
Hamaoka,3,"3,473[note 14]",Japan,34°37′25″N 138°08′33″E﻿ / ﻿34.62361°N 138.14250°E,[5]
Hanbit,6,"5,875",South Korea,35°24′54″N 126°25′26″E﻿ / ﻿35.41500°N 126.42389°E,[7]
Hanul,6,"5,928[note 15]",South Korea,37°5′34″N 129°23′1″E﻿ / ﻿37.09278°N 129.38361°E,[7]
Hartlepool,2,"1,190",United Kingdom,54°38′06″N 01°10′51″W﻿ / ﻿54.63500°N 1.18083°W,
Heysham,4,"2,400",United Kingdom,54°01′44″N 02°54′58″W﻿ / ﻿54.02889°N 2.91611°W,
Higashidōri,1,"1,067",Japan,41°11′17″N 141°23′25″E﻿ / ﻿41.18806°N 141.39028°E,[5]
Hongyanhe,4,"4,122[note 16]",China,39°47′52″N 121°28′19″E﻿ / ﻿39.79778°N 121.47194°E,[3][4]
Hope Creek,1,"1,191",United States,39°28′04″N 75°32′17″W﻿ / ﻿39.46778°N 75.53806°W,
Ikata,3,"1,922",Japan,33°29′27″N 132°18′41″E﻿ / ﻿33.49083°N 132.31139°E,[5]
Indian Point,2,"2,062[note 17]",United States,41°16′11″N 73°57′08″W﻿ / ﻿41.26972°N 73.95222°W,
Isar,2,"1,410[note 18]",Germany,48°36′20″N 12°17′35″E﻿ / ﻿48.60556°N 12.29306°E,
Joseph M. Farley,2,"1,711",United States,31°13′23″N 85°06′42″W﻿ / ﻿31.22306°N 85.11167°W,
Kalinin,4,"3,800",Russia,57°54′20″N 35°03′37″E﻿ / ﻿57.90556°N 35.06028°E,
Kashiwazaki-Kariwa,7,"7,965[note 19]",Japan,37°25′45″N 138°35′43″E﻿ / ﻿37.42917°N 138.59528°E,[5][8]
Khmelnitskiy,2,"1,900[note 20]",Ukraine,50°18′5″N 26°38′59″E﻿ / ﻿50.30139°N 26.64972°E,
Koeberg,2,"1,830",South Africa,33°40′35″S 18°25′55″E﻿ / ﻿33.67639°S 18.43194°E,
Kola,4,"1,644",Russia,67°28′00″N 32°28′00″E﻿ / ﻿67.46667°N 32.46667°E,
Kori,6,"6,040[note 21]",South Korea,35°19′01″N 129°18′00″E﻿ / ﻿35.31694°N 129.30000°E,
Kozloduy,2,"1,906[note 22]",Bulgaria,43°44′46″N 23°46′14″E﻿ / ﻿43.74611°N 23.77056°E,
Kuosheng,2,"1,933",Taiwan,25°12′11″N 121°39′46″E﻿ / ﻿25.20306°N 121.66278°E,[9]
Kudankulam,2,"1,834[note 23]",India,8°10′06″N 77°42′45″E﻿ / ﻿8.16833°N 77.71250°E,
Kursk,4,"3,700[note 24]",Russia,51°40′30″N 35°36′20″E﻿ / ﻿51.67500°N 35.60556°E,
Laguna Verde,2,"1,300",Mexico,19°43′15″N 96°24′23″W﻿ / ﻿19.72083°N 96.40639°W,
LaSalle,2,"2,238",United States,41°14′44″N 88°40′9″W﻿ / ﻿41.24556°N 88.66917°W,
Leibstadt,1,"1,190",Switzerland,47°36′11″N 08°11′05″E﻿ / ﻿47.60306°N 8.18472°E,
Lemoniz,2,"1,800",Spain,43°26′00″N 02°52′21″W﻿ / ﻿43.43333°N 2.87250°W,
Leningrad,3,"2,775[note 25]",Russia,59°50′50″N 29°02′37″E﻿ / ﻿59.84722°N 29.04361°E,
Leningrad II,1,"1,085[note 26]",Russia,59°49′50″N 29°3′26″E﻿ / ﻿59.83056°N 29.05722°E
Limerick,2,"2,264",United States,40°13′36″N 75°35′14″W﻿ / ﻿40.22667°N 75.58722°W,
Ling Ao,4,"3,876",China,22°36′17″N 114°33′5″E﻿ / ﻿22.60472°N 114.55139°E,[3][4]
McGuire,2,"2,200",United States,35°25′57″N 80°56′54″W﻿ / ﻿35.43250°N 80.94833°W,
Maanshan,2,"1,841",Taiwan,21°57′29″N 120°45′6″E﻿ / ﻿21.95806°N 120.75167°E,[9]
Millstone,2,"2,102[note 27]",United States,41°18′43″N 72°10′07″W﻿ / ﻿41.31194°N 72.16861°W,
Neckarwestheim,2,"1,310[note 28]",Germany,49°02′30″N 09°10′30″E﻿ / ﻿49.04167°N 9.17500°E,
Nine Mile Point,2,"1,764",United States,43°31′15″N 76°24′25″W﻿ / ﻿43.52083°N 76.40694°W,
Ningde,4,"4,072",China,27°02′46″N 120°17′18″E﻿ / ﻿27.04611°N 120.28833°E,[3][4]
Nogent,2,"2,620",France,48°30′55″N 03°31′04″E﻿ / ﻿48.51528°N 3.51778°E,[1]
North Anna,2,"1,875",United States,38°03′38″N 77°47′22″W﻿ / ﻿38.06056°N 77.78944°W,
Novovoronezh I,3,"1,720[note 29]",Russia,51°16′30″N 39°12′00″E﻿ / ﻿51.27500°N 39.20000°E,
Novovoronezh II,1,"1,114[note 30]",Russia,59°49′50″N 29°3′26″E﻿ / ﻿59.83056°N 29.05722°E,
Oconee,3,"2,538",United States,34°47′38″N 82°53′53″W﻿ / ﻿34.79389°N 82.89806°W,
Ōi,4,"4,494[note 31]",Japan,35°32′26″N 135°39′07″E﻿ / ﻿35.54056°N 135.65194°E,[5]
Olkiluoto,2,"1,740[note 32]",Finland,61°14′13″N 21°26′27″E﻿ / ﻿61.23694°N 21.44083°E,
Onagawa,3,"2,089",Japan,38°24′04″N 141°29′59″E﻿ / ﻿38.40111°N 141.49972°E,[5]
Oskarshamn,1,"1,400[note 33]",Sweden,57°24′56″N 16°40′16″E﻿ / ﻿57.41556°N 16.67111°E,
Paks,4,"1,889",Hungary,46°34′21″N 18°51′15″E﻿ / ﻿46.57250°N 18.85417°E,
Palo Verde,3,"3,942",United States,33°23′21″N 112°51′54″W﻿ / ﻿33.38917°N 112.86500°W,
Paluel,4,"5,320",France,49°51′29″N 00°38′08″E﻿ / ﻿49.85806°N 0.63556°E,[1]
Penly,2,"2,660",France,49°58′36″N 01°12′43″E﻿ / ﻿49.97667°N 1.21194°E,[1]
Peach Bottom,2,"2,234[note 34]",United States,39°45′30″N 76°16′05″W﻿ / ﻿39.75833°N 76.26806°W,
Perry,1,"1,240",United States,41°48′03″N 81°08′36″W﻿ / ﻿41.80083°N 81.14333°W,
Philippsburg,2,"1,402[note 35]",Germany,49°15′09″N 08°26′11″E﻿ / ﻿49.25250°N 8.43639°E,
Pickering,6,"3,094[note 36]",Canada,43°48′42″N 79°03′57″W﻿ / ﻿43.81167°N 79.06583°W,
Point Beach,2,"1,027",United States,44°16′52″N 87°32′12″W﻿ / ﻿44.28111°N 87.53667°W,
Prairie Island,2,"1,114",United States,44°37′18″N 92°37′59″W﻿ / ﻿44.62167°N 92.63306°W,
Qinshan,7,"4,101",China,30°26′08″N 120°57′23″E﻿ / ﻿30.43556°N 120.95639°E,[3][4]
Quad Cities,2,"1,774",United States,41°43′35″N 90°18′36″W﻿ / ﻿41.72639°N 90.31000°W,
Rajasthan,6,"1,085[note 37]",India,24°52′20″N 75°36′50″E﻿ / ﻿24.87222°N 75.61389°E,
Ringhals,4,"3,649",Sweden,57°15′35″N 12°06′39″E﻿ / ﻿57.25972°N 12.11083°E,
Rivne,4,"2,645",Ukraine,51°19′40″N 25°53′30″E﻿ / ﻿51.32778°N 25.89167°E,
Rostov,4,"3,922",Russia,47°35′58″N 42°22′19″E﻿ / ﻿47.59944°N 42.37194°E,
Saint-Alban,2,"2,670",France,45°24′16″N 04°45′16″E﻿ / ﻿45.40444°N 4.75444°E,[1][10]
Saint-Laurent,2,"1,830[note 38]",France,47°43′12″N 01°34′39″E﻿ / ﻿47.72000°N 1.57750°E,[1]
Saint Lucie,2,"1,678",United States,27°20′55″N 80°14′47″W﻿ / ﻿27.34861°N 80.24639°W,
Salem,2,"2,332",United States,39°27′46″N 75°32′08″W﻿ / ﻿39.46278°N 75.53556°W,
Sanmen,1,"1,000[note 39]",China,29°06′04″N 121°38′23″E﻿ / ﻿29.10111°N 121.63972°E,[3]
Seabrook,1,"1,247",United States,42°53′56″N 70°51′03″W﻿ / ﻿42.89889°N 70.85083°W,
Sendai,2,"1,692",Japan,31°50′01″N 130°11′23″E﻿ / ﻿31.83361°N 130.18972°E,[5]
Sequoyah,2,"2,278",United States,35°13′35″N 85°05′30″W﻿ / ﻿35.22639°N 85.09167°W,
Shika,2,"1,613",Japan,37°03′40″N 136°43′35″E﻿ / ﻿37.06111°N 136.72639°E,
Sizewell-B,1,"1,188",United Kingdom,52°12′48″N 01°37′07″E﻿ / ﻿52.21333°N 1.61861°E,
Smolensk,3,"2,775",Russia,54°10′09″N 33°14′48″E﻿ / ﻿54.16917°N 33.24667°E,
South Texas,2,"2,560",United States,28°47′44″N 96°02′56″W﻿ / ﻿28.79556°N 96.04889°W,
South Ukraine,3,"2,850",Ukraine,47°49′00″N 31°13′00″E﻿ / ﻿47.81667°N 31.21667°E,
Surry,2,"1,638",United States,37°09′56″N 76°41′52″W﻿ / ﻿37.16556°N 76.69778°W,
Susquehanna,2,"2,429",United States,41°05′20″N 76°08′56″W﻿ / ﻿41.08889°N 76.14889°W,
Taishan,1,"1,660[note 40]",China,21°54′34″N 112°58′45″E﻿ / ﻿21.90944°N 112.97917°E,[3]
Takahama,4,"3,220",Japan,35°31′20″N 135°30′17″E﻿ / ﻿35.52222°N 135.50472°E,[5]
Tarapur,4,"1,280",India,19°49′40″N 72°39′40″E﻿ / ﻿19.82778°N 72.66111°E,
Temelin,2,"1,926",Czech Republic,49°10′48″N 14°22′34″E﻿ / ﻿49.18000°N 14.37611°E,
Tianwan,3,"2,970[note 41]",China,34°41′13″N 119°27′35″E﻿ / ﻿34.68694°N 119.45972°E,[3][4]
Tihange,3,"3,016",Belgium,50°32′05″N 05°16′21″E﻿ / ﻿50.53472°N 5.27250°E,
Tokai,1,"1,060[note 42]",Japan,36°27′59″N 140°36′24″E﻿ / ﻿36.46639°N 140.60667°E,[5]
Tomari,3,"1,966",Japan,43°02′10″N 140°30′45″E﻿ / ﻿43.03611°N 140.51250°E,[5]
Torness,2,"1,205",United Kingdom,55°58′05″N 02°24′33″W﻿ / ﻿55.96806°N 2.40917°W,
Tricastin,4,"3,660",France,44°19′47″N 04°43′56″E﻿ / ﻿44.32972°N 4.73222°E,[1]
Trillo,1,"1,003",Spain,40°42′04″N 02°37′19″W﻿ / ﻿40.70111°N 2.62194°W,
Tsuruga,1,"1,108[note 43]",Japan,35°40′22″N 136°04′38″E﻿ / ﻿35.67278°N 136.07722°E,[5]
Turkey Point,2,"1,386",United States,25°26′03″N 80°19′50″W﻿ / ﻿25.43417°N 80.33056°W,
Vandellòs,1,"1,045[note 44]",Spain,40°57′05″N 00°52′00″E﻿ / ﻿40.95139°N 0.86667°E,
Vogtle,2,"2,302[note 45]",United States,33°08′35″N 81°45′57″W﻿ / ﻿33.14306°N 81.76583°W,
Waterford,1,"1,168",United States,29°59′43″N 90°28′16″W﻿ / ﻿29.99528°N 90.47111°W,
Watts Bar,2,"2,288",United States,35°36′10″N 84°47′22″W﻿ / ﻿35.60278°N 84.78944°W,
Wolf Creek,1,"1,160",United States,38°14′20″N 95°41′20″W﻿ / ﻿38.23889°N 95.68889°W,
Wolseong,6,"4,598",South Korea,35°42′40″N 129°28′30″E﻿ / ﻿35.71111°N 129.47500°E,
Yangjiang,5,"5,000[note 46]",China,21°42′35″N 112°15′38″E﻿ / ﻿21.70972°N 112.26056°E,[3]
Zaporizhzhia,6,"5,700",Ukraine,47°30′44″N 34°35′09″E﻿ / ﻿47.51222°N 34.58583°E,
